orig,dest,year,age,flow
Islands,North-East,1975,15,42
North-West,Center,1975,15,230
North-East,Center,1975,15,115
Center,Center,1975,15,0
South,Center,1975,15,347
Islands,Center,1975,15,117
North-West,South,1975,15,423
North-East,South,1975,15,103
Center,South,1975,15,334
South,South,1975,15,0
Islands,South,1975,15,73
North-West,Islands,1975,15,177
North-East,Islands,1975,15,31
Center,Islands,1975,15,116
South,Islands,1975,15,54
Islands,Islands,1975,15,0
North-West,North-West,1975,16,0
North-East,North-West,1975,16,215
Center,North-West,1975,16,149
South,North-West,1975,16,312
Islands,North-West,1975,16,166
North-West,North-East,1975,16,220
North-East,North-East,1975,16,0
Center,North-East,1975,16,116
South,North-East,1975,16,71
Islands,North-East,1975,16,27
North-West,Center,1975,16,148
North-East,Center,1975,16,93
Center,Center,1975,16,0
South,Center,1975,16,258
Islands,Center,1975,16,82
North-West,South,1975,16,201
North-East,South,1975,16,65
Center,South,1975,16,190
South,South,1975,16,0
Islands,South,1975,16,43
North-West,Islands,1975,16,115
North-East,Islands,1975,16,14
Center,Islands,1975,16,75
South,Islands,1975,16,40
Islands,Islands,1975,16,0
North-West,North-West,1975,17,0
North-East,North-West,1975,17,110
Center,North-West,1975,17,83
South,North-West,1975,17,147
Islands,North-West,1975,17,80
North-West,North-East,1975,17,131
North-East,North-East,1975,17,0
Center,North-East,1975,17,73
South,North-East,1975,17,33
Islands,North-East,1975,17,15
North-West,Center,1975,17,108
North-East,Center,1975,17,54
Center,Center,1975,17,0
South,Center,1975,17,142
Islands,Center,1975,17,60
North-West,South,1975,17,81
North-East,South,1975,17,16
Center,South,1975,17,95
South,South,1975,17,0
Islands,South,1975,17,23
North-West,Islands,1975,17,53
North-East,Islands,1975,17,11
Center,Islands,1975,17,36
South,Islands,1975,17,18
Islands,Islands,1975,17,0
North-West,North-West,1975,18,0
North-East,North-West,1975,18,52
Center,North-West,1975,18,35
South,North-West,1975,18,58
Islands,North-West,1975,18,34
North-West,North-East,1975,18,58
North-East,North-East,1975,18,0
Center,North-East,1975,18,28
South,North-East,1975,18,17
Islands,North-East,1975,18,6
North-West,Center,1975,18,33
North-East,Center,1975,18,22
Center,Center,1975,18,0
South,Center,1975,18,63
Islands,Center,1975,18,27
North-West,South,1975,18,28
North-East,South,1975,18,5
Center,South,1975,18,39
South,South,1975,18,0
Islands,South,1975,18,8
North-West,Islands,1975,18,19
North-East,Islands,1975,18,5
Center,Islands,1975,18,12
South,Islands,1975,18,6
Islands,Islands,1975,18,0
North-West,North-West,1975,19,0
North-East,North-West,1975,19,14
Center,North-West,1975,19,9
South,North-West,1975,19,10
Islands,North-West,1975,19,9
North-West,North-East,1975,19,16
North-East,North-East,1975,19,0
Center,North-East,1975,19,8
South,North-East,1975,19,3
Islands,North-East,1975,19,2
North-West,Center,1975,19,13
North-East,Center,1975,19,7
Center,Center,1975,19,0
South,Center,1975,19,17
Islands,Center,1975,19,5
North-West,South,1975,19,10
North-East,South,1975,19,5
Center,South,1975,19,15
South,South,1975,19,0
Islands,South,1975,19,3
North-West,Islands,1975,19,6
North-East,Islands,1975,19,1
Center,Islands,1975,19,2
South,Islands,1975,19,2
Islands,Islands,1975,19,0
North-West,North-West,1975,20,0
North-East,North-West,1975,20,3
Center,North-West,1975,20,4
South,North-West,1975,20,2
Islands,North-West,1975,20,1
North-West,North-East,1975,20,2
North-East,North-East,1975,20,0
Center,North-East,1975,20,4
South,North-East,1975,20,1
Islands,North-East,1975,20,1
North-West,Center,1975,20,2
North-East,Center,1975,20,1
Center,Center,1975,20,0
South,Center,1975,20,4
Islands,Center,1975,20,2
